@id,brick:inMode,brick:ofSystem/Equipment/Process,brick:hasSubstance,brick:isDifferential,brick:hasQuantity/Enumeration,rdfs:subClassOf,todo:,skos:definition
brick:Underfloor_Air_Plenum_Static_Pressure_Sensor,,brick:Underfloor_Air_Plenum,,,quantitykind:StaticPressure,brick:Sensor,,Measures the outward push of air against the plenum surfaces and used to measure the resistance when air moves through the plenum
brick:Underfloor_Air_Plenum_Static_Pressure_Setpoint,,brick:Underfloor_Air_Plenum,,,quantitykind:StaticPressure,brick:Setpoint,,Sets the underfloor air plenum static pressure
brick:Underfloor_Air_Temperature_Sensor,,,brick:Air,,quantitykind:Temperature,brick:Sensor,Underfloor,Measures the temperature of underfloor air
brick:Unit_Failure_Alarm,,brick:Equipment,,,,brick:Failure_Alarm,,An alarm that indicates the failure of an equipment or device
brick:Unoccupied_Air_Temperature_Setpoint,brick:Unoccupied,,brick:Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of air when unoccupied
brick:Unoccupied_Cooling_Discharge_Air_Flow_Setpoint,brick:Unoccupied,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets discharge air flow for cooling when unoccupied
brick:Unoccupied_Cooling_Mode_Status,brick:Unoccupied,brick:Cooling,,,brick:EnumerationKind-Mode,brick:Status,,"Indicates whether a system, device or control loop is in an unoccupied cooling mode"
brick:Unoccupied_Cooling_Supply_Air_Flow_Setpoint,brick:Unoccupied,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,
brick:Unoccupied_Cooling_Temperature_Deadband_Setpoint,brick:Unoccupied,brick:Cooling,,,quantitykind:Temperature,brick:Deadband_Setpoint,,
brick:Unoccupied_Cooling_Temperature_Setpoint,brick:Unoccupied,brick:Cooling,,,quantitykind:Temperature,brick:Setpoint,,
brick:Unoccupied_Cooling_Zone_Air_Temperature_Setpoint,brick:Unoccupied,brick:Cooling,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of air when unoccupied for cooling within a specific zone
brick:Unoccupied_Discharge_Air_Flow_Setpoint,brick:Unoccupied,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,
brick:Unoccupied_Discharge_Air_Temperature_Setpoint,brick:Unoccupied,,brick:Discharge_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Unoccupied_Heating_Discharge_Air_Flow_Setpoint,brick:Unoccupied,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,
brick:Unoccupied_Heating_Mode_Status,brick:Unoccupied,brick:Heating,,,brick:EnumerationKind-Mode,brick:Status,,"Indicates whether a system, device or control loop is in an unoccupied heating mode"
brick:Unoccupied_Heating_Supply_Air_Flow_Setpoint,brick:Unoccupied,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,
brick:Unoccupied_Heating_Temperature_Deadband_Setpoint,brick:Unoccupied,brick:Heating,,,quantitykind:Temperature,brick:Deadband_Setpoint,,
brick:Unoccupied_Heating_Temperature_Setpoint,brick:Unoccupied,brick:Heating,,,quantitykind:Temperature,brick:Setpoint,,
brick:Unoccupied_Heating_Zone_Air_Temperature_Setpoint,brick:Unoccupied,brick:Heating,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of air when unoccupied for heating within a specific zone
brick:Unoccupied_Humidity_Setpoint,brick:Unoccupied,,,,quantitykind:RelativeHumidity,brick:Setpoint,,Target humidity level when the location is unoccupied.
brick:Unoccupied_Load_Shed_Command,brick:Unoccupied,brick:Load_Shed,,,,brick:Command,,
brick:Unoccupied_Mode_Status,brick:Unoccupied,,,,brick:EnumerationKind-Mode,brick:Status,,
brick:Unoccupied_Return_Air_Temperature_Setpoint,brick:Unoccupied,,brick:Return_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Unoccupied_Room_Air_Temperature_Setpoint,brick:Unoccupied,,brick:Room_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Unoccupied_Supply_Air_Flow_Setpoint,brick:Unoccupied,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,
brick:Unoccupied_Supply_Air_Temperature_Setpoint,brick:Unoccupied,,brick:Supply_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Unoccupied_Target_Zone_Air_Temperature_Setpoint,brick:Unoccupied,,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,Target,Target Setpoint (also known as Common Setpoint) is a reference point representing the desired unoccupied air temperature in a specific zone of a building. This setpoint acts as a baseline from which deadband setpoints are established by adding or subtracting a deadband width.
brick:Usage_Sensor,,,,,,brick:Usage_Sensor,,"Measures the amount of some substance that is consumed or used, over some period of time"
brick:Valve_Command,,brick:Valve,,,,brick:Command,,Controls or reports the openness of a valve (typically as a proportion of its full range of motion)
brick:Valve_Position_Alarm,,brick:Valve,,,,brick:Alarm,Position,An alarm that indicates that the valve position is not in a normal state.
brick:Valve_Position_Command,,brick:Valve,,,,brick:Command,Position,Controls the position (the degree of openness) of a valve
brick:Valve_Position_Sensor,,brick:Valve,,,,brick:Sensor,Position,Measures the current position of a valve in terms of the percent of fully open
brick:Valve_Status,,brick:Valve,,,,brick:Status,,The current status of the valve.
brick:Velocity_Pressure_Sensor,,,,,quantitykind:DynamicPressure,brick:Sensor,,Measures the difference between total pressure and static pressure
brick:Velocity_Pressure_Setpoint,,,,,quantitykind:DynamicPressure,brick:Setpoint,,Sets static veloicty pressure
brick:Vent_Operating_Mode_Status,,,,,,,(deprecated),Indicates the current operating mode of a vent
brick:Ventilation_Air_Flow_Ratio_Limit,,,,,,,(deprecated),A parameter that places a lower or upper bound on the range of permitted values of a Ventilation_Air_Flow_Ratio_Setpoint.
brick:VFD_Enable_Command,,brick:VFD,,,,brick:Enable_Command,,Enables operation of a variable frequency drive
brick:Voltage_Alarm,,,,,quantitykind:Voltage,brick:Alarm,,An alarm that indicates the voltage is not in a normal state.
brick:Voltage_Imbalance_Sensor,,,,,quantitykind:Voltage,brick:Sensor,Imbalance,A sensor which measures the voltage difference (imbalance) between phases of an electrical system
brick:Voltage_Ratio_Setpoint,,,,,,,(deprecated),Sets the ratio of voltage in a transformer
brick:Voltage_Sensor,,,,,quantitykind:Voltage,brick:Sensor,,Measures the voltage of an electrical device or object
brick:Warm_Cool_Adjust_Sensor,,,,,,,(deprecated),"User provided adjustment of zone temperature, typically in the range of +/- 5 degrees"
brick:Warmest_Zone_Air_Temperature_Sensor,,,,,,,(deprecated),The zone temperature that is warmest; drives the supply temperature of cold air. A computed value rather than a physical sensor. Also referred to as a 'Highest Zone Air Temperature Sensor'
brick:Waste_Amount_Sensor,,,,,,,(deprecated),A metric used for measuring the quantity of waste generated in a building.
brick:Water_Alarm,,,brick:Water,,,brick:Alarm,,"Alarm that indicates an undesirable event with a pipe, container, or equipment carrying water e.g. water leak"
brick:Water_Differential_Pressure_Sensor,,,brick:Water,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in water pressure between two points in a system.
brick:Water_Differential_Pressure_Setpoint,,,brick:Water,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target water differential pressure between an upstream and downstream point in a water pipe or conduit
brick:Water_Differential_Temperature_Sensor,,,brick:Water,brick:Differential,quantitykind:Temperature,brick:Sensor,,Measures the difference in water temperature between an upstream and downstream point in a pipe or conduit
brick:Water_Differential_Temperature_Setpoint,,,brick:Water,brick:Differential,quantitykind:Temperature,brick:Setpoint,,Sets the target differential temperature between the start and end of a heat transfer cycle in a water circuit
brick:Water_Flow_Sensor,,,brick:Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of water
brick:Water_Flow_Setpoint,,,brick:Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of water
brick:Water_Level_Alarm,,,brick:Water,,,brick:Alarm,Level,An alarm that indicates a high or low water level e.g. in a basin
brick:Water_Level_Sensor,,,brick:Water,,,brick:Sensor,Level,Measures the height/level of water in some container
brick:Water_Loss_Alarm,,,brick:Water,,,brick:Loss_Alarm,,An alarm that indicates a loss of water e.g. during transport
brick:Water_Pressure_Sensor,,,brick:Water,,quantitykind:Pressure,brick:Sensor,,Measures the pressure exerted by water in a system.
brick:Water_Pressure_Setpoint,,,brick:Water,,quantitykind:Pressure,brick:Setpoint,,
brick:Water_Temperature_Alarm,,,brick:Water,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with temperature of water.
brick:Water_Temperature_Sensor,,,brick:Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of water
brick:Water_Temperature_Setpoint,,,brick:Water,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of water
brick:Water_Usage_Sensor,,,brick:Water,,,brick:Usage_Sensor,,"Measures the amount of water that is consumed, over some period of time"
brick:Wind_Direction_Sensor,,,brick:Wind,,quantitykind:Azimuth,brick:Sensor,,Measures the direction of wind in degrees relative to North
brick:Wind_Speed_Sensor,,,brick:Wind,,quantitykind:Speed,brick:Sensor,,"Measured speed of wind, caused by air moving from high to low pressure"
brick:Zone_Air_Conditioning_Mode_Status,,,brick:Zone_Air,,brick:EnumerationKind-Conditioning_Mode,brick:Status,,Indicates the mode of AC for a zone
brick:Zone_Air_Dewpoint_Sensor,,,brick:Zone_Air,,quantitykind:DewPointTemperature,brick:Sensor,,Measures dewpoint of zone air
brick:Zone_Air_Humidity_Sensor,,,brick:Zone_Air,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the relative humidity of zone air
brick:Zone_Air_Humidity_Setpoint,,,brick:Zone_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for zone air
brick:Zone_Air_Temperature_Sensor,,,brick:Zone_Air,,quantitykind:Temperature,brick:Sensor,,A physical or virtual sensor which represents the temperature of an HVAC Zone
brick:Zone_CO2_Level_Sensor,,,brick:Zone_Air,,,brick:Sensor,CO2 Level,A physical or virtual sensor which represents the CO2 level of an HVAC Zone
brick:Zone_Occupied_Load_Shed_Command,,,,,,,(deprecated),
brick:Zone_Standby_Load_Shed_Command,,,,,,,(deprecated),
brick:Zone_Unoccupied_Load_Shed_Command,,,,,,,(deprecated),
